,year,name,fpop0_4,fpop5_9,fpop10_14,fpop15_19,fpop20_24,fpop25_29,fpop30_34,fpop35_39,fpop40_44,fpop45_49,fpop50_54,fpop55_59,fpop60_64,fpop65_69,fpop70_74,fpop75_79,fpop80_84,fpop85_89,fpop90_94,fpop95_99,fpop100_,mpop0_4,mpop5_9,mpop10_14,mpop15_19,mpop20_24,mpop25_29,mpop30_34,mpop35_39,mpop40_44,mpop45_49,mpop50_54,mpop55_59,mpop60_64,mpop65_69,mpop70_74,mpop75_79,mpop80_84,mpop85_89,mpop90_94,mpop95_99,mpop100_
81,2020,Guam,7606,7457,7055,6491,6084,5929,5286,4548,4428,4899,4790,4763,3854,3169,2437,1295,1018,500,126,21,2,8122,7978,7638,7297,7227,6705,5682,4716,4543,4995,5253,5164,3918,3073,2247,1130,690,274,68,10,1
82,2020,Guinea-Bissau,156345,134491,123231,108025,92365,79044,67567,57572,46073,35950,21150,14354,16312,14388,9136,5729,3229,1275,273,31,1,158849,135831,123105,105317,87123,71696,59013,48928,38982,33284,23513,17039,12511,9707,7334,4743,2444,868,174,18,2
83,2020,Guyana,30513,30422,33760,44872,41141,25184,26743,22338,21920,21462,20892,18983,16343,13963,8156,4839,2466,960,262,39,2,31810,31683,35231,46994,43668,27851,29668,25431,24904,23779,22729,19048,14395,11221,6502,3752,1867,675,164,19,2
84,2020,Hong Kong,153280,160345,124298,131962,171927,231667,258221,304222,306984,324895,338232,359510,309319,237857,173359,95354,90910,70899,34102,9155,1183,167699,183472,139275,144816,190055,224973,209862,231309,221796,214555,226176,294943,287630,222108,166812,95845,74164,46171,15759,2830,275
85,2020,Honduras,427638,457588,490050,502558,470165,418161,363829,329177,289400,238525,193708,154530,127333,100519,73927,50181,31821,15360,4727,855,75,438694,469597,501155,507495,461704,394067,331723,295580,258229,210847,166411,128583,105444,82603,60765,40593,24248,10672,3038,484,38
86,2020,Croatia,91504,96858,102079,99109,122366,120484,133778,150849,152408,142112,139923,150082,161107,152624,115890,79088,79070,59958,29850,9217,1145,97232,103719,108208,104884,128714,125305,136618,153745,151462,140441,134281,140619,150525,142354,99702,51477,42584,22579,5182,430,23
87,2020,Haiti,574107,571218,586061,579459,567284,518767,449726,380313,315935,264535,215933,170755,134828,104590,76858,49863,25856,9488,2272,282,19,571328,566187,579286,576008,569106,514973,445610,374585,310063,257607,207455,160524,120109,88614,61151,36669,17268,5523,1110,107,7
88,2020,Hungary,214479,230437,244715,241275,251087,296469,306372,319307,407408,382913,332123,293441,343580,372926,298573,240260,169547,101732,44251,12533,1890,226927,244565,259918,258540,268500,311366,318023,326973,414154,383498,320062,264458,285628,283600,204011,140070,78904,41475,15621,4086,703
89,2020,Indonesia,10723431,11566462,11748504,11236586,10585471,10165954,10359351,10685656,10109461,9553265,7479406,6487657,5441544,3668984,2324101,2167930,1291871,542688,153957,16822,1570,11199474,12097979,12324370,11778244,11106159,10493065,10268494,10228956,9751348,9261789,7765531,6434681,5060935,3889791,2109730,1584643,816173,294678,72624,6607,458
90,2020,Ireland,170415,184027,179023,158440,150394,151189,172522,207150,206241,186982,161911,149174,129931,113537,98440,70838,49419,30297,14366,4339,661,179603,193319,186127,162853,153365,153954,168737,204815,209472,193129,168284,150191,129358,110906,92438,61831,37869,19274,6846,1576,220
91,2020,Israel,368016,392339,372256,344810,320580,298198,285467,273420,263234,246262,213634,188741,179158,171570,143167,96347,71127,48878,23439,6571,850,385899,410834,389380,359888,333620,310606,298039,285013,275144,255234,223452,194123,171005,156404,125690,78404,52268,31563,12067,2794,301
92,2020,Isle of Man,2348,2364,2332,2229,2413,2654,2552,2566,2729,3258,3381,3315,2925,2573,2567,1918,1400,885,479,159,26,2530,2546,2604,2619,2704,2730,2569,2514,2649,3185,3456,3415,2906,2616,2506,1700,1130,605,245,69,10
93,2020,India,53810025,53983050,54278214,54643764,54018702,51415321,48921492,46481277,43577317,40482301,35190193,29236080,23629054,18303257,13372057,8858730,4841057,1937006,493191,68629,4623,60252385,61112748,61617745,62111269,61297909,57853910,53545775,50042919,46187162,42088968,36054766,29503810,23356249,17574089,12247627,7578821,3755264,1307956,280770,32335,1822
94,2020,Iraq,2383881,2390211,2252299,2029559,1752933,1502181,1451898,1281161,1067910,881742,729048,488462,350870,314611,192824,114525,60734,26429,8972,1186,41,2491159,2493909,2348066,2105393,1807277,1515680,1443558,1251513,1053375,904830,750062,492545,313190,264304,157333,90209,43906,16065,4506,516,12
95,2020,Iran,3479650,3400228,3117066,2822623,2714996,3718102,4249018,4084578,3369144,2620155,2292555,1833764,1511950,1093659,701850,432778,273431,133353,39121,7006,394,3644812,3559978,3263847,2960365,2846786,3901374,4477308,4231698,3532818,2780442,2324444,1771621,1458815,1017104,593279,363447,224022,104370,26129,4267,194
96,2020,Iceland,11523,11642,11669,10880,11428,12214,11787,11610,11281,10780,10437,10922,10260,8615,6968,5110,3430,2534,1381,441,81,12036,12193,12154,11105,11632,12651,12313,12208,11534,11100,10409,10631,10238,8724,6950,4527,2669,1661,771,228,46
97,2020,Italy,1294479,1363818,1439001,1466684,1522710,1677402,1799180,2004297,2287204,2580215,2576093,2427676,2074554,1846895,1794739,1425946,1247035,829280,440640,155448,23886,1366819,1431903,1493234,1490401,1514753,1638215,1746134,1941479,2229630,2527937,2494821,2318575,1931534,1661643,1542846,1122717,866371,480442,200624,52198,5966
98,2020,Jersey,2934,2619,2492,2676,3674,4196,4212,3002,2084,2764,3804,3699,3172,2713,2499,1725,1371,841,436,151,30,3112,2789,2696,2910,3855,4328,4324,3376,2245,2676,3575,3567,2979,2350,1990,1233,958,494,180,45,6
99,2020,Jamaica,110448,115211,122219,125560,124426,110676,100561,90399,82780,84324,83406,75354,61121,44272,33697,26202,17985,9619,3123,487,41,115301,119270,126122,129520,126740,109340,93870,80596,73706,79368,83124,74567,59310,44277,32947,23126,13813,6163,1730,231,16
100,2020,Jordan,577266,590153,570085,533974,478761,429630,382006,336581,292636,255020,208473,155031,108504,75176,58254,38029,20523,8247,1895,291,23,610454,623907,601208,576939,549723,514660,455181,390806,339081,300899,250853,175840,115437,76624,52835,37142,19383,6762,1484,178,12
101,2020,Japan,2346395,2631629,2747766,2751074,2864589,2968182,3335054,3843539,4242410,4803385,4223995,3850452,3697520,4223588,4709642,3875280,3096678,2338018,1275834,427805,82444,2487162,2798290,2911056,2991509,3233319,3170509,3292179,3695710,4060315,4689452,4190597,3880250,3703231,4074808,4298188,3218772,2197213,1288299,504908,102730,11951
102,2020,Kenya,3452674,3428391,3422744,3017968,2442396,2025994,1925347,1790726,1452304,1036752,790083,618500,474805,359471,244489,155664,86448,35419,9181,1289,86,3494073,3455994,3455087,3040236,2446398,2003160,1906844,1776394,1471114,1069573,819857,614412,438790,313467,207911,128395,68180,26003,6192,791,51
103,2020,Kyrgyzstan,297394,300336,281851,228861,231700,256873,261800,222968,172739,156861,143503,145366,127179,90893,53037,22522,30051,12160,5177,746,51,314393,317067,296058,236075,239923,263386,261742,216543,167545,140296,123735,116826,94952,61913,33008,14482,16085,5523,1958,189,10
104,2020,Cambodia,862597,849674,820437,758990,727030,833309,817352,711642,412632,428750,416415,355570,266441,206114,136920,85249,47666,19188,5028,650,35,886485,867206,834114,759392,707492,811967,795078,688545,393570,403223,386743,317237,165397,123088,83697,49173,25314,8942,2108,270,14
105,2020,Kiribati,5231,4995,5239,5477,5991,5279,5028,4137,3182,2651,2992,2383,1747,1250,893,550,316,130,31,5,0,5463,5208,5389,5463,5729,5028,4755,3882,2989,2409,2575,1991,1397,908,612,307,147,46,9,0,0
