,country,expected_deaths,pop,age_sex_adjusted_expected_death_rate
57,Dominican Republic,22978.43355,10498946,0.0021886419408195835
58,Ecuador,52745.02319,16894461,0.0031220305394768144
59,Egypt,166030.50067,104112503,0.0015947220159523011
60,El Salvador,17893.877650000002,6480810,0.002761055739946087
61,Equatorial Guinea,1217.3101100000001,837428,0.0014536295777069792
62,Eritrea,8664.02271,6088682,0.0014229717876545365
63,Estonia,9278.521630000001,1228296,0.0075539785442596905
64,Eswatini,1437.7120400000001,1104638,0.0013015232501507282
65,Ethiopia,127440.87686,108108470,0.0011788241648411082
66,Faroe Islands,332.03953,51624,0.006431883038896638
67,Fiji,2281.75203,935139,0.0024400137626598827
68,Finland,44454.5699,5572355,0.007977698818542609
69,France,535738.90983,67858873,0.00789489842883185
70,French Polynesia,1016.98536,294891,0.003448682258868531
71,Gabon,3384.8088,2230332,0.001517625537363944
72,"Gambia, The",2870.45895,2180783,0.00131625152525492
73,Gaza Strip,2027.24494,1917031,0.001057491996738707
74,Georgia,33395.31147,4930665,0.006772983252766107
75,Germany,749539.9120400001,80069820,0.009361079018786356
76,Ghana,51086.34616,31643281,0.0016144452959855839
77,Gibraltar,190.18195,29459,0.006455818255881055
78,Greece,96699.48154000001,10604841,0.009118428229145539
79,Greenland,209.96766,57797,0.003632847033583058
80,Grenada,441.60244,113165,0.003902288163301374
81,Guam,547.01768,168489,0.0032466076717174415
82,Guatemala,28547.053,17140193,0.0016655035914706444
83,Guernsey,528.20988,67173,0.007863425483453174
84,Guinea,16726.57987,12527271,0.0013352133812703502
85,Guinea-Bissau,2078.88114,1927022,0.0010788050888884506
86,Guyana,1764.7501200000002,786653,0.002243365397449702
87,Haiti,16621.193189999998,11061439,0.0015026248564947108
88,Honduras,18303.16953,9232097,0.0019825581912755034
89,Hong Kong,50814.20708,7248206,0.007010590907598376
90,Hungary,67915.58357,9756400,0.006961131520847854
91,Iceland,2029.22693,350773,0.005785014610588614
92,India,3139279.43742,1325349639,0.0023686424661409668
93,Indonesia,690870.77935,272856400,0.0025319940428371844
94,Iran,186961.67025,84982541,0.002200000941958184
95,Iraq,46285.41958,38828885,0.001192035763581674
96,Ireland,26494.32511,5173463,0.005121197370117463
97,Isle of Man,726.05525,90381,0.00803327303304898
98,Israel,37986.07471,8659792,0.004386488117728463
99,Italy,555434.04412,62335424,0.00891040773413204
100,Jamaica,9649.30888,2815048,0.003427759981357334
101,Japan,1417689.9049499999,125135727,0.011329217793652167
102,Jersey,642.5147,100782,0.00637529221487964
103,Jordan,15742.84619,10819966,0.0014549811145432435
104,Kazakhstan,55147.13397,19085226,0.0028895195671248537
105,Kenya,61706.65823,53513653,0.0011531012138154724
106,Kiribati,177.48164,111814,0.001587293541059259
107,"Korea, North",85924.20273,25701731,0.0033431290184307043
108,"Korea, South",310646.0492,51577174,0.006022936603699924
109,Kosovo,5573.93367,1922449,0.0028993922179470044
110,Kuwait,3803.32983,2995271,0.0012697782037084458
111,Kyrgyzstan,12660.3135,5963777,0.002122868360101325
112,Laos,11342.66574,7463435,0.0015197647919490155
113,Latvia,13633.48043,1883186,0.0072395825107026066
114,Lebanon,17478.32648,5463514,0.003199099788158317
115,Lesotho,4134.05725,2162195,0.0019119724400435668
116,Liberia,5515.85511,5073054,0.001087284919498196
117,Libya,11319.555540000001,6890637,0.0016427444284178663
118,Liechtenstein,264.15831000000003,39137,0.00674957993714388
119,Lithuania,20811.61577,2739816,0.007595990303728426
120,Luxembourg,3892.88552,628615,0.006192797690160114
121,Macau,2920.52698,625295,0.00467063862656826
122,Madagascar,34636.67338,26898646,0.0012876734903310746
123,Malawi,26457.76975,19822929,0.0013347053682127399
124,Malaysia,87072.35078000001,33164013,0.0026255070753952487
125,Maldives,849.5340100000001,391104,0.0021721434963590247
126,Mali,21694.32729,19552681,0.001109532104062865
127,Malta,3453.58124,457270,0.007552608393290616
128,Marshall Islands,124.41266999999999,77741,0.001600348207509551
129,Mauritania,5600.55164,3997059,0.0014011681188593912
130,Mauritius,4973.02379,1378798,0.003606781986919041
131,Mexico,372878.34388,128840997,0.0028940970076473406
132,"Micronesia, Federated States of",154.2826,102320,0.00150784401876466
133,Moldova,15462.27507,3360212,0.004601577242745398
134,Monaco,451.49413,31066,0.014533384729286036
135,Mongolia,5888.64013,3168648,0.0018584077909569
136,Montenegro,3309.69692,609786,0.005427636777492431
137,Montserrat,15.8479,5359,0.0029572494868445602
138,Morocco,91121.35955,35558805,0.002562554043928079
139,Mozambique,32483.079709999998,30097734,0.001079253332161152
140,Namibia,3864.02588,2629632,0.0014694169678494938
141,Nauru,10.41992,9728,0.001071126644736842
142,Nepal,58863.54124,30175326,0.0019507176572011184
143,Netherlands,124735.6588,17274001,0.007221005648893965
144,New Caledonia,1028.20948,290033,0.003545146517810042
145,New Zealand,28819.84404,4925334,0.005851348160348111
146,Nicaragua,13255.98805,6186056,0.00214288199945167
147,Niger,22764.98437,22759615,0.001000235916556585
148,Nigeria,250079.21866,213986428,0.0011686685973373975
149,North Macedonia,9875.575420000001,2125463,0.00464631725887489
150,Northern Mariana Islands,128.08433,51851,0.0024702383753447375
151,Norway,35052.18313,5465387,0.006413486022124325
152,Oman,5341.57638,3624823,0.001473610264556366
153,Pakistan,375878.38014,233431156,0.0016102322696804022
154,Palau,69.93258,21532,0.0032478441389559728
155,Panama,13009.2939,3883101,0.003350233202793335
156,Papua New Guinea,12624.25891,7280577,0.0017339640676830971
157,Paraguay,21472.17021,7188930,0.0029868381261189078
158,Peru,92637.70355,31914710,0.0029026647445644974
159,Philippines,178344.92775,109168180,0.001633671347731546
160,Poland,247422.35131,38270292,0.0064651283901883995
161,Portugal,81995.2156,10288283,0.007969766733671692
162,Puerto Rico,25478.91467,3190410,0.007986094160311683
163,Qatar,2293.89935,2447179,0.0009373647575432774
164,Romania,134442.66913,21310245,0.006308827943085591
165,Russia,764400.89472,142588206,0.0053608984653331
166,Rwanda,11755.56593,12709485,0.0009249443175706962
167,Saint Barthelemy,47.41519,7131,0.006649164212592904
168,"Saint Helena, Ascension, and Tristan da Cunha",47.57808,7903,0.006020255599139567
169,Saint Kitts and Nevis,207.25447,53799,0.0038523851744456214
170,Saint Lucia,894.43977,166141,0.005383618552915897
171,Saint Martin,103.46696,32560,0.0031777321867321865
172,Saint Pierre and Miquelon,44.58822,5384,0.008281615898959881
173,Saint Vincent and the Grenadines,401.81688,101334,0.003965272070578483
174,Samoa,478.10247000000004,203662,0.0023475290923196277
175,San Marino,280.80240000000003,34247,0.008199328408327738
176,Sao Tome and Principe,257.42511,210728,0.001221598980676512
177,Saudi Arabia,54632.92493,34223743,0.001596345698657216
178,Senegal,18122.86483,15722089,0.0011527008166662839
179,Serbia,47875.46433,7007664,0.0068318721231497405
180,Seychelles,300.8559,95726,0.003142885945302217
181,Sierra Leone,8601.11482,6643834,0.0012946011023153199
182,Singapore,25449.87776,5810285,0.004380142757196936
183,Sint Maarten,154.28122,43991,0.003507108726785024
184,Slovakia,30902.144,5439808,0.005680741673235526
185,Slovenia,16456.343520000002,2102452,0.007827214851991865
186,Solomon Islands,1260.11555,678494,0.0018572243085421536
187,Somalia,11245.59771,11818529,0.0009515226226546468
188,South Africa,114904.04123,56434963,0.0020360435290796594
189,South Sudan,11024.37384,10560984,0.0010438775250488023
190,Spain,363617.3776,47272945,0.007691870637634275
191,Sri Lanka,84257.81954,22895756,0.003680062782814422
192,Sudan,55147.4853,45544096,0.0012108591484613065
193,Suriname,1573.63107,609085,0.0025835984632686733
194,Sweden,79411.19713,10185555,0.007796452636110649
195,Switzerland,60919.2278,8398489,0.007253593807171743
196,Syria,31810.69567,19392460,0.0016403641245102479
197,Taiwan,137686.91394,23563036,0.005843343529246401
198,Tajikistan,12501.337500000001,8860396,0.0014109231122401303
199,Tanzania,70014.35224000001,60362612,0.0011598960005242982
200,Thailand,316928.45521,69291926,0.00457381506771799
201,Timor-Leste,1928.8368500000001,1382948,0.0013947283990432035
202,Togo,11297.64042,8076517,0.0013988258082042048
