,country,expected_deaths,pop,age_sex_adjusted_expected_death_rates,date,observed_death_rates,standardized_residuals
24,Bolivia,24574.53279,11595674,0.002119284553015202,2021-09-13,1570.785,1.2653870844566113
25,Bosnia and Herzegovina,20235.72655,3832751,0.005279687240313811,2021-09-13,3084.151,2.493893985593708
26,Botswana,4764.60403,2316910,0.0020564476091000515,2021-09-13,974.871,0.5395323582149038
27,Brazil,682290.81606,212041332,0.0032177255708806807,2021-09-13,2743.383,2.4915978102831766
28,Brunei,949.5885900000001,464145,0.0020458877936851633,2021-09-13,47.562,-0.6080425277644136
29,Bulgaria,47023.56283,6965462,0.0067509610748002075,2021-09-13,2850.802,1.9084126948355473
30,Burkina Faso,23928.276530000003,20833136,0.0011485681526775423,2021-09-13,7.955,-0.473777822562364
32,Burundi,12439.1342,11845890,0.0010500801712661522,2021-09-13,3.101,-0.4596648482378647
34,Cambodia,27215.26667,17070744,0.001594263651894727,2021-09-13,120.91,-0.42473333145402076
35,Cameroon,30735.08478,27743599,0.001107826161270569,2021-09-13,49.845,-0.41342319029920105
36,Canada,278358.33514,37649603,0.007393393633924905,2021-09-13,716.85,-0.87985000616308
38,Central African Republic,6639.0685300000005,5262642,0.001261546677505329,2021-09-13,20.325,-0.48152046360795103
39,Chad,14122.205549999999,16875954,0.0008368241315424301,2021-09-13,10.287,-0.40710738940342867
40,Chile,76372.34658,18182486,0.0042003247839706844,2021-09-13,1939.012,1.293957761080644
41,China,5834756.63086,1394015977,0.004185573714453919,2021-09-13,3.21,-1.1010495601224717
42,Colombia,141774.68791,49828664,0.0028452436113880156,2021-09-13,2451.671,2.207009993615426
43,Comoros,1328.43171,852094,0.0015590201433175214,2021-09-13,165.456,-0.3622500348264322
45,Congo,87940.71346,101768560,0.0008641245730508519,2021-09-13,32.349,-0.3852808207530719
47,Costa Rica,15889.561010000001,5096857,0.0031175214470407944,2021-09-13,1119.662,0.5008958310283785
48,Croatia,32238.90113,4229585,0.007622237437006231,2021-09-13,2069.503,0.7592927335875737
49,Cuba,68281.78283,11058573,0.00617455641247745,2021-09-13,563.11,-0.8173640594264276
51,Cyprus,5659.28866,1267376,0.004465358867455278,2021-09-13,599.096,-0.42030594181353015
52,Czechia,72299.84499,10698037,0.006758234710723098,2021-09-13,2835.922,1.888444134312814
54,Denmark,42954.42025,5868927,0.0073189563015522265,2021-09-13,450.002,-1.196771066359097
55,Djibouti,1232.354,919627,0.001340058523727555,2021-09-13,156.656,-0.328343941727018
56,Dominica,343.79533000000004,74522,0.004613340087490943,2021-09-13,83.135,-1.0900436245468774
57,Dominican Republic,22978.43355,10498946,0.0021886419408195835,2021-09-13,366.816,-0.24145177632482287
58,Ecuador,52745.02319,16894461,0.0031220305394768144,2021-09-13,1813.905,1.359941093312604
59,Egypt,166030.50067,104112503,0.0015947220159523011,2021-09-13,161.953,-0.3739038273472768
60,El Salvador,17893.877650000002,6480810,0.002761055739946087,2021-09-13,465.138,-0.23685608415464268
61,Equatorial Guinea,1217.3101100000001,837428,0.0014536295777069792,2021-09-13,90.352,-0.4338825973213652
62,Eritrea,8664.02271,6088682,0.0014229717876545365,2021-09-13,11.107,-0.5259628856312065
63,Estonia,9278.521630000001,1228296,0.0075539785442596905,2021-09-13,990.803,-0.5718583286215309
64,Eswatini,1437.7120400000001,1104638,0.0013015232501507282,2021-09-13,1005.656,0.7334968793940909
65,Ethiopia,127440.87686,108108470,0.0011788241648411082,2021-09-13,42.137,-0.4375204918507919
67,Fiji,2281.75203,935139,0.0024400137626598827,2021-09-13,595.858,-0.009081071679041468
68,Finland,44454.5699,5572355,0.007977698818542609,2021-09-13,188.704,-1.6619787487763453
69,France,535738.90983,67858873,0.00789489842883185,2021-09-13,1720.51,0.2680128318733101
71,Gabon,3384.8088,2230332,0.001517625537363944,2021-09-13,75.916,-0.464886630396628
72,Gambia,2870.45895,2180783,0.00131625152525492,2021-09-13,131.889,-0.35421375708823266
74,Georgia,33395.31147,4930665,0.006772983252766107,2021-09-13,2068.711,0.9311216716607514
75,Germany,749539.9120400001,80069820,0.009361079018786356,2021-09-13,1104.809,-0.8087248708301373
76,Ghana,51086.34616,31643281,0.0016144452959855839,2021-09-13,34.602,-0.5359433212429999
78,Greece,96699.48154000001,10604841,0.009118428229145539,2021-09-13,1371.454,-0.42273012057211723
80,Grenada,441.60244,113165,0.003902288163301374,2021-09-13,238.906,-0.7509258119225515
82,Guatemala,28547.053,17140193,0.0016655035914706444,2021-09-13,698.854,0.27767996262381006
84,Guinea,16726.57987,12527271,0.0013352133812703502,2021-09-13,27.265,-0.4879673534326155
